account,om_line,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,FY2033,FY2034,FY2035,FY2036,FY2037
Base Rental Revenue,Potential Rental Revenue,2714878,2815095,2932149,3071407,3291134,3398241,3528925,3630629,3735947,3929714,4038705
Absorption & Turnover Vacancy,Absorption & Turnover Vacancy,-111138,-257139,-189171,-239203,-178635,-118487,-168308,-224387,-149906,-641738,-123226
Free Rent,Base Rent Abatements,-94478,-116543,-236845,-282764,-353680,-63108,-173097,-194875,-196035,-667765,-250044
Scheduled Base Rental Revenue,Scheduled Base Rental Revenue,2509263,2441413,2506134,2549441,2758819,3216646,3187520,3211367,3390006,2620210,3665434
Expense Recovery Revenue,Expense Reimbursement,410783,419868,442041,422814,380988,436880,448132,465395,492643,350496,424343
Parking / Storage / Miscellaneous Property Revenue,Parking Income,28014,28854,29720,30612,31530,32476,33450,34454,35487,36552,37648
Parking / Storage / Miscellaneous Property Revenue,Other Income,1523,1568,1615,1664,1714,1765,1818,1872,1929,1987,2046
Parking / Storage / Miscellaneous Property Revenue,Pylon / Facia Sign Rental,3654,3764,3877,3993,4113,4236,4363,4494,4629,4768,4911
Total Potential Gross Revenue,Potential Gross Revenue,2953237,2895467,2983387,3008522,3177164,3692003,3675283,3717582,3924693,3014012,4134382
General Vacancy,General Vacancy / Credit Loss,-40747,-11,-37968,-23342,-67721,-70223,-46996,-41919,-68308,-10478,-88329
Effective Gross Revenue,Effective Gross Revenue,2912490,2895456,2945419,2985180,3109443,3621780,3628288,3675663,3856385,3003534,4046053
Electricity,Electricity,-246286,-245540,-257079,-262173,-274036,-286124,-292309,-297724,-311449,-292029,-332530
Utilities,Utilities,-44772,-44636,-46734,-47660,-49817,-52014,-53138,-54123,-56618,-53087,-60450
Personnel Expenses,Personnel Expenses,-158614,-163372,-168274,-173322,-178522,-183877,-189393,-195075,-200928,-206955,-213164
Janitorial,Janitorial,-171764,-171244,-179291,-182844,-191118,-199548,-203861,-207638,-217210,-203666,-231912
Trash Removal,Trash Removal,-26796,-27600,-28428,-29281,-30159,-31064,-31996,-32956,-33944,-34963,-36012
Management Fees,Management Fees,-87375,-86864,-88363,-89555,-93283,-108653,-108849,-110270,-115692,-90106,-121382
Supplies/R&M/Contract Services,Supplies/R&M/Contract Services,-433908,-446926,-460333,-474143,-488368,-503019,-518109,-533653,-549662,-566152,-583137
Administrative Expenses,Administrative Expenses,-27919,-28756,-29619,-30507,-31423,-32365,-33336,-34336,-35366,-36427,-37520
Insurance,Insurance,-60127,-61930,-63788,-65702,-67673,-69703,-71794,-73948,-76167,-78452,-80805
Margin Tax,Margin Tax,-9640,-9584,-9749,-9881,-10292,-11988,-12010,-12166,-12765,-9942,-13392
Real Estate Tax,Real Estate Tax,-292089,-300851,-309877,-319173,-328748,-338611,-348769,-359232,-370009,-381109,-392543
Total Operating Expenses,Total Operating Expenses,-1559289,-1587304,-1641534,-1684241,-1743439,-1816966,-1863565,-1911122,-1979810,-1952888,-2102847
Net Operating Income,Net Operating Income,1353201,1308152,1303885,1300939,1366004,1804814,1764723,1764541,1876576,1050645,1943206
Tenant Improvements,Tenant Improvements,-71482,-261273,-267483,-496929,-298626,-102876,-228156,-230917,-241476,-1238098,-75095
Leasing Commissions,Leasing Commissions,-59933,-184116,-181147,-417318,-252205,-86406,-191438,-194350,-202600,-935635,-62843
Capital Expenditures,Capital Expenditures,0,0,-1390000,0,0,0,0,0,0,0,0
Capital Reserves,Capital Reserves,-24989,-25739,-26511,-27306,-28125,-28969,-29838,-30733,-31655,-32605,-33583
Total Capital Costs,Total Capital Costs,-156403,-471127,-1865141,-941554,-578956,-218252,-449433,-455999,-475732,-2206338,-171521
Cash Flow Before Debt Service,Cash Flow,1196797,837025,-561256,359385,787048,1586562,1315290,1308542,1400844,-1155693,1771685
